timestamp,camera,status,color,x,y,w,h,area
1765114993.705,kreo1,DETECTED,orange,694,378,26,26,502
1765114993.706,kreo2,DETECTED,orange,408,484,24,24,438
1765114993.706,kreo2,DETECTED,orange,1222,70,32,22,410
1765114993.840,kreo1,DETECTED,orange,694,376,26,28,528
1765114993.842,kreo2,DETECTED,orange,408,484,24,24,426
1765114993.842,kreo2,DETECTED,orange,656,200,12,12,100
1765114993.922,kreo1,DETECTED,orange,694,376,26,28,528
1765114993.922,kreo2,DETECTED,orange,408,484,24,26,448
1765114993.941,kreo1,DETECTED,orange,694,378,26,26,492
1765114993.944,kreo2,DETECTED,orange,408,484,24,24,420
1765114993.944,kreo2,DETECTED,orange,1236,74,16,18,194
1765114993.944,kreo2,DETECTED,orange,656,200,12,12,100
1765114993.974,kreo1,DETECTED,orange,694,376,26,28,526
1765114993.975,kreo2,DETECTED,orange,408,484,26,24,448
1765114994.006,kreo1,DETECTED,orange,694,378,26,26,508
1765114994.007,kreo2,DETECTED,orange,408,484,26,26,480
1765114994.022,kreo1,DETECTED,orange,694,376,26,28,524
1765114994.024,kreo2,DETECTED,orange,408,484,26,26,474
1765114994.024,kreo2,DETECTED,orange,1222,72,30,20,364
1765114994.042,kreo1,DETECTED,orange,694,378,26,26,516
1765114994.060,kreo2,DETECTED,orange,408,484,24,24,444
1765114994.060,kreo2,DETECTED,orange,1234,80,18,12,154
1765114994.074,kreo1,DETECTED,orange,696,376,24,28,512
1765114994.090,kreo2,DETECTED,orange,408,484,24,26,420
1765114994.090,kreo2,DETECTED,orange,1238,74,14,18,178
1765114994.090,kreo2,DETECTED,orange,656,200,12,12,100
1765114994.121,kreo1,DETECTED,orange,694,376,26,28,526
1765114994.107,kreo2,DETECTED,orange,408,484,24,26,460
1765114994.146,kreo2,DETECTED,orange,408,484,24,26,438
1765114994.146,kreo2,DETECTED,orange,1238,80,14,12,114
1765114994.144,kreo1,DETECTED,orange,694,378,26,26,500
1765114994.172,kreo1,DETECTED,orange,694,376,26,28,524
1765114994.173,kreo2,DETECTED,orange,408,484,26,26,460
1765114994.173,kreo2,DETECTED,orange,656,200,12,12,100
1765114994.205,kreo1,DETECTED,orange,694,378,26,26,506
1765114994.206,kreo2,DETECTED,orange,408,484,24,24,426
1765114994.206,kreo2,DETECTED,orange,1240,74,12,18,146
1765114994.221,kreo1,DETECTED,orange,694,376,26,28,532
1765114994.222,kreo2,DETECTED,orange,1222,66,32,26,490
1765114994.222,kreo2,DETECTED,orange,408,484,24,24,418
1765114994.222,kreo2,DETECTED,orange,656,200,12,12,100
