timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1763931996.465,kreo1,298,185,140,,,,,,,,,,True,False
1763931996.469,kreo2,,,,,,,,,,,,,True,False
1763931996.488,kreo2,,,,,,,,,,,,,True,False
1763931996.491,kreo1,288,190,166,,,,,,,,,,True,False
1763931996.530,kreo2,,,,,,,,,,,,,True,False
1763931996.530,kreo1,298,191,112,,,,,,,,,,True,False
1763931996.559,kreo2,,,,,,,,,,,,,True,False
1763931996.568,kreo1,300,592,120,,,,,,,,,,True,False
1763931996.593,kreo2,,,,,,,,,,,,,True,False
1763931996.607,kreo1,,,,,,,,,,,,,False,False
1763931996.633,kreo2,,,,,,,,,,,,,False,False
1763931996.647,kreo1,,,,,,,,,,,,,False,False
1763931996.655,kreo2,,,,,,,,,,,,,False,False
1763931996.670,kreo1,,,,,,,,,,,,,False,False
1763931996.691,kreo2,,,,,,,,,,,,,False,False
1763931996.708,kreo1,,,,,,,,,,,,,False,False
1763931996.723,kreo2,1207,230,204,,,,,,,,,,False,True
1763931996.747,kreo1,,,,,,,,,,,,,False,True
1763931996.755,kreo2,1206,229,296,,,,,,,,,,False,True
1763931996.787,kreo1,,,,,,,,,,,,,False,True
1763931996.787,kreo2,1205,229,268,,,,,,,,,,False,True
1763931996.830,kreo2,1207,230,208,,,,,,,,,,False,True
1763931996.831,kreo1,,,,,,,,,,,,,False,True
1763931996.859,kreo2,1206,228,284,,,,,,,,,,False,True
1763931996.868,kreo1,,,,,,,,,,,,,False,True
1763931996.890,kreo2,1206,230,228,,,,,,,,,,False,True
1763931996.890,kreo1,,,,,,,,,,,,,False,True
1763931996.907,kreo1,,,,,,,,,,,,,False,True
1763931996.923,kreo2,1206,229,252,,,,,,,,,,False,True
1763931996.927,kreo1,,,,,,,,,,,,,False,True
1763931996.947,kreo1,299,606,118,,,,,,,,,,True,True
1763931996.955,kreo2,1204,228,344,,,,,,,,,,True,True
1763931996.967,kreo1,,,,,,,,,,,,,False,True
1763931996.990,kreo2,1205,227,358,,,,,,,,,,False,True
1763931996.992,kreo1,,,,,,,,,,,,,False,True
1763931997.008,kreo1,,,,,,,,,,,,,False,True
1763931997.028,kreo1,,,,,,,,,,,,,False,True
1763931997.048,kreo1,,,,,,,,,,,,,False,True
1763931997.059,kreo2,1205,225,568,,,,,,,,,,False,True
1763931997.068,kreo1,,,,,,,,,,,,,False,True
1763931997.094,kreo1,,,,,,,,,,,,,False,True
1763931997.091,kreo2,1202,223,512,,,,,,,,,,False,True
1763931997.124,kreo2,1203,219,488,,,,,,,,,,False,True
1763931997.131,kreo1,,,,,,,,,,,,,False,True
1763931997.151,kreo1,,,,,,,,,,,,,False,True
1763931997.155,kreo2,1201,214,526,,,,,,,,,,False,True
1763931997.188,kreo2,1201,214,490,,,,,,,,,,False,True
1763931997.190,kreo1,,,,,,,,,,,,,False,True
1763931997.215,kreo1,,,,,,,,,,,,,False,True
1763931997.224,kreo2,,,,,,,,,,,,,False,False
1763931997.252,kreo1,,,,,,,,,,,,,False,False
1763931997.255,kreo2,1194,203,780,,,,,,,,,,False,True
1763931997.287,kreo2,1183,192,698,,,,,,,,,,False,True
1763931997.291,kreo1,,,,,,,,,,,,,False,True
1763931997.314,kreo2,1176,187,756,,,,,,,,,,False,True
1763931997.340,kreo1,,,,,,,,,,,,,False,True
1763931997.341,kreo2,1158,180,808,,,,,,,,,,False,True
1763931997.372,kreo2,1139,169,636,,,,,,,,,,False,True
1763931997.416,kreo2,1118,163,702,,,,,,,,,,False,True
1763931997.414,kreo1,198,202,1136,,,,,,,,,,True,True
1763931997.440,kreo2,1100,155,668,,,,,,,,,,True,True
1763931997.451,kreo1,214,220,1400,,,,,,,,,,True,True
1763931997.476,kreo2,1085,150,524,,,,,,,,,,True,True
1763931997.476,kreo1,220,231,1408,,,,,,,,,,True,True
1763931997.507,kreo2,1070,146,510,,,,,,,,,,True,True
1763931997.510,kreo1,232,251,1432,,,,,,,,,,True,True
1763931997.532,kreo1,236,260,1348,,,,,,,,,,True,True
1763931997.539,kreo2,1062,143,498,,,,,,,,,,True,True
1763931997.570,kreo1,,,,,,,,,,,,,False,True
1763931997.572,kreo2,1056,143,540,,,,,,,,,,False,True
1763931997.592,kreo1,,,,,,,,,,,,,False,True
1763931997.613,kreo2,1047,140,516,,,,,,,,,,False,True
1763931997.631,kreo1,248,299,596,,,,,,,,,,True,True
1763931997.649,kreo2,1044,141,602,,,,,,,,,,True,True
1763931997.677,kreo1,,,,,,,,,,,,,False,True
1763931997.681,kreo2,,,,,,,,,,,,,False,False
1763931997.713,kreo1,,,,,,,,,,,,,False,False
1763931997.712,kreo2,1038,136,536,,,,,,,,,,False,True
1763931997.745,kreo2,1035,133,662,,,,,,,,,,False,True
1763931997.751,kreo1,,,,,,,,,,,,,False,True
1763931997.774,kreo2,1034,131,684,,,,,,,,,,False,True
1763931997.797,kreo1,241,341,1338,,,,,,,,,,True,True
1763931997.808,kreo2,1033,127,778,,,,,,,,,,True,True
1763931997.835,kreo1,,,,,,,,,,0.6667157343210744,0.2631867560234323,-0.04247795769641752,False,True
1763931997.840,kreo2,1030,122,778,,,,,,,0.6667157343210744,0.2631867560234323,-0.04247795769641752,False,True
1763931997.871,kreo2,1030,116,850,,,,,,,0.6564618457503062,0.2409241111247207,-0.010898573070010381,False,True
1763931997.872,kreo1,,,,,,,,,,0.6564618457503062,0.2409241111247207,-0.010898573070010381,False,True
1763931997.907,kreo2,1027,109,880,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,False,True
1763931997.911,kreo1,,,,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,False,True
1763931997.939,kreo2,1022,100,900,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,False,True
1763931997.960,kreo1,246,350,1632,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931997.972,kreo2,1016,88,880,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931997.991,kreo1,256,349,1770,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931998.019,kreo2,1009,78,912,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931998.031,kreo1,268,347,1870,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931998.038,kreo2,1001,69,862,,,,,,,0.6576938114641153,0.24427474864453058,-0.015662700737724272,True,True
1763931998.071,kreo2,993,60,860,,,,,,,0.6654217212156858,0.259804992643212,-0.03752759104463452,True,True
1763931998.071,kreo1,284,345,1896,,,,,,,0.6654217212156858,0.259804992643212,-0.03752759104463452,True,True
1763931998.094,kreo2,987,58,856,,,,,,,0.6559295835479846,0.238141329603137,-0.007372663288455289,True,True
1763931998.123,kreo2,977,55,856,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.131,kreo1,312,346,1834,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.153,kreo1,323,345,1866,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.155,kreo2,968,56,844,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.187,kreo2,958,61,944,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.191,kreo1,348,344,1738,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.210,kreo2,952,64,904,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.236,kreo1,370,345,1660,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.247,kreo2,943,73,910,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.271,kreo2,933,83,894,,,,,,,0.6692334950377276,0.2708491491820885,-0.05312436226597672,True,True
