timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765188997.721,kreo1,656,657,768,,,,,,,,,,True,False
1765188997.744,kreo2,605,237,364,,,,,,,,,,True,True
1765188997.751,kreo1,656,657,808,,,,,,,,,,True,True
1765188997.781,kreo1,656,657,828,,,,,,,,,,True,True
1765188997.779,kreo2,605,237,362,,,,,,,,,,True,True
1765188997.816,kreo2,605,237,372,,,,,,,,,,True,True
1765188997.817,kreo1,656,656,740,,,,,,,,,,True,True
1765188997.840,kreo2,605,237,362,,,,,,,,,,True,True
1765188997.849,kreo1,656,657,812,,,,,,,,,,True,True
1765188997.874,kreo2,605,237,370,,,,,,,,,,True,True
1765188997.879,kreo1,656,656,802,,,,,,,,,,True,True
1765188997.899,kreo1,657,657,848,,,,,,,,,,True,True
1765188997.906,kreo2,605,237,354,,,,,,,,,,True,True
1765188997.940,kreo1,656,656,776,,,,,,,,,,True,True
1765188997.941,kreo2,605,237,374,,,,,,,,,,True,True
1765188997.969,kreo1,656,656,744,,,,,,,,,,True,True
1765188997.975,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.008,kreo1,656,657,838,,,,,,,,,,True,True
1765188998.013,kreo2,605,237,386,,,,,,,,,,True,True
1765188998.032,kreo1,656,657,828,,,,,,,,,,True,True
1765188998.038,kreo2,606,237,378,,,,,,,,,,True,True
1765188998.055,kreo2,606,237,374,,,,,,,,,,True,True
1765188998.065,kreo1,656,657,758,,,,,,,,,,True,True
1765188998.075,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.105,kreo1,657,658,870,,,,,,,,,,True,True
1765188998.112,kreo2,605,237,356,,,,,,,,,,True,True
1765188998.131,kreo1,656,656,790,,,,,,,,,,True,True
1765188998.139,kreo2,606,237,392,,,,,,,,,,True,True
1765188998.155,kreo2,606,237,374,,,,,,,,,,True,True
1765188998.164,kreo1,656,658,786,,,,,,,,,,True,True
1765188998.176,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.206,kreo1,656,658,844,,,,,,,,,,True,True
1765188998.211,kreo2,605,237,354,,,,,,,,,,True,True
1765188998.234,kreo1,656,658,830,,,,,,,,,,True,True
1765188998.239,kreo2,605,237,376,,,,,,,,,,True,True
1765188998.264,kreo1,656,656,758,,,,,,,,,,True,True
1765188998.276,kreo2,605,237,376,,,,,,,,,,True,True
1765188998.299,kreo1,656,657,826,,,,,,,,,,True,True
1765188998.308,kreo2,605,237,356,,,,,,,,,,True,True
1765188998.337,kreo1,656,658,836,,,,,,,,,,True,True
1765188998.340,kreo2,605,237,376,,,,,,,,,,True,True
1765188998.368,kreo1,656,657,790,,,,,,,,,,True,True
1765188998.375,kreo2,605,238,388,,,,,,,,,,True,True
1765188998.404,kreo1,656,658,860,,,,,,,,,,True,True
1765188998.408,kreo2,605,237,360,,,,,,,,,,True,True
1765188998.440,kreo2,605,238,380,,,,,,,,,,True,True
1765188998.436,kreo1,656,657,786,,,,,,,,,,True,True
1765188998.467,kreo1,656,658,800,,,,,,,,,,True,True
1765188998.477,kreo2,605,237,368,,,,,,,,,,True,True
1765188998.500,kreo1,657,657,860,,,,,,,,,,True,True
1765188998.507,kreo2,605,237,354,,,,,,,,,,True,True
1765188998.532,kreo1,657,656,798,,,,,,,,,,True,True
1765188998.539,kreo2,605,237,374,,,,,,,,,,True,True
1765188998.560,kreo2,605,237,356,,,,,,,,,,True,True
1765188998.567,kreo1,656,657,766,,,,,,,,,,True,True
1765188998.600,kreo1,656,658,852,,,,,,,,,,True,True
1765188998.628,kreo2,605,237,376,,,,,,,,,,True,True
1765188998.633,kreo1,656,656,756,,,,,,,,,,True,True
1765188998.656,kreo2,605,237,356,,,,,,,,,,True,True
1765188998.664,kreo1,656,656,768,,,,,,,,,,True,True
1765188998.691,kreo2,605,238,382,,,,,,,,,,True,True
1765188998.700,kreo1,656,658,860,,,,,,,,,,True,True
1765188998.722,kreo2,605,237,368,,,,,,,,,,True,True
1765188998.731,kreo1,656,658,816,,,,,,,,,,True,True
1765188998.739,kreo2,605,238,382,,,,,,,,,,True,True
1765188998.760,kreo2,605,237,356,,,,,,,,,,True,True
1765188998.769,kreo1,656,657,782,,,,,,,,,,True,True
1765188998.791,kreo2,606,238,408,,,,,,,,,,True,True
1765188998.802,kreo1,657,658,870,,,,,,,,,,True,True
1765188998.823,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.840,kreo1,656,657,800,,,,,,,,,,True,True
1765188998.846,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.867,kreo1,656,657,820,,,,,,,,,,True,True
1765188998.876,kreo2,605,237,354,,,,,,,,,,True,True
1765188998.913,kreo2,605,237,362,,,,,,,,,,True,True
1765188998.908,kreo1,657,658,876,,,,,,,,,,True,True
1765188998.937,kreo1,656,657,790,,,,,,,,,,True,True
1765188998.940,kreo2,605,238,396,,,,,,,,,,True,True
1765188998.965,kreo1,656,658,822,,,,,,,,,,True,True
1765188998.986,kreo2,606,237,386,,,,,,,,,,True,True
1765188999.001,kreo1,656,657,830,,,,,,,,,,True,True
1765188999.019,kreo2,605,237,368,,,,,,,,,,True,True
1765188999.045,kreo2,605,237,362,,,,,,,,,,True,True
1765188999.063,kreo1,656,657,796,,,,,,,,,,True,True
1765188999.084,kreo2,605,237,354,,,,,,,,,,True,True
1765188999.100,kreo1,656,658,844,,,,,,,,,,True,True
1765188999.107,kreo2,605,237,362,,,,,,,,,,True,True
1765188999.132,kreo1,656,657,788,,,,,,,,,,True,True
1765188999.139,kreo2,605,237,376,,,,,,,,,,True,True
1765188999.160,kreo2,605,237,372,,,,,,,,,,True,True
1765188999.168,kreo1,656,658,834,,,,,,,,,,True,True
1765188999.197,kreo2,604,237,390,,,,,,,,,,True,True
1765188999.199,kreo1,656,657,812,,,,,,,,,,True,True
1765188999.225,kreo2,605,237,356,,,,,,,,,,True,True
1765188999.232,kreo1,656,657,782,,,,,,,,,,True,True
1765188999.260,kreo2,605,237,356,,,,,,,,,,True,True
1765188999.264,kreo1,656,658,830,,,,,,,,,,True,True
1765188999.291,kreo2,604,238,414,,,,,,,,,,True,True
1765188999.301,kreo1,657,657,840,,,,,,,,,,True,True
1765188999.322,kreo2,605,237,356,,,,,,,,,,True,True
1765188999.374,kreo2,605,237,356,,,,,,,,,,True,True
1765188999.378,kreo1,656,656,736,,,,,,,,,,True,True
1765188999.399,kreo1,657,658,874,,,,,,,,,,True,True
1765188999.406,kreo2,605,237,354,,,,,,,,,,True,True
1765188999.431,kreo1,656,656,764,,,,,,,,,,True,True
1765188999.439,kreo2,605,238,390,,,,,,,,,,True,True
1765188999.454,kreo2,606,237,374,,,,,,,,,,True,True
1765188999.463,kreo1,656,657,814,,,,,,,,,,True,True
1765188999.476,kreo2,605,237,354,,,,,,,,,,True,True
1765188999.480,kreo1,656,657,776,,,,,,,,,,True,True
1765188999.513,kreo2,605,237,362,,,,,,,,,,True,True
1765188999.519,kreo1,656,656,790,,,,,,,,,,True,True
1765188999.540,kreo2,605,237,370,,,,,,,,,,True,True
1765188999.547,kreo1,656,657,796,,,,,,,,,,True,True
1765188999.578,kreo1,656,656,730,,,,,,,,,,True,True
1765188999.599,kreo1,656,657,818,,,,,,,,,,True,True
1765188999.630,kreo1,656,656,734,,,,,,,,,,True,True
1765188999.638,kreo2,605,238,382,,,,,,,,,,True,True
1765188999.656,kreo2,605,237,364,,,,,,,,,,True,True
1765188999.673,kreo1,656,658,842,,,,,,,,,,True,True
1765188999.696,kreo2,605,238,390,,,,,,,,,,True,True
